Probe	logFC	A	pvalue	adjpvalue
hsv1-miR-H6-3p	-1.791506358	3.302677997	0.004353664	0.010692982
hsa-miR-33a	-1.915157001	2.11705825	0.014940319	0.028787444
hsa-miR-19a	-1.926307289	8.034632882	7.67E-05	0.000563373
hsa-miR-149	-1.973528296	2.637919757	0.003036719	0.008132231
hsa-miR-142-3p	-1.981296307	10.28258782	0.000435008	0.001936092
hsa-miR-664	-2.079938818	1.808487587	0.006115399	0.013859276
hsa-miR-18b	-2.14347456	4.850499281	0.002445277	0.006899174
hsa-miR-29b-1*	-2.168334189	3.57896446	0.001151603	0.003790694
hsa-miR-132	-2.189826457	5.671682501	0.000192797	0.001107705
hsa-miR-142-5p	-2.248971933	6.363232246	2.20E-05	0.000204581
hsa-miR-125a-5p	-2.256195838	4.320484955	0.000405446	0.001830738
hsa-miR-21*	-2.357595793	3.350522973	0.00057269	0.00232013
hsa-miR-424	-2.555585318	3.346172097	0.002752267	0.007545347
hsa-miR-18a	-2.611104631	5.063966248	0.000264303	0.001439998
hsa-miR-1274b	-2.666814922	8.617770686	1.40E-05	0.000142978
hsa-let-7b*	-2.688064586	3.069020918	0.016032533	0.030519761
hsa-miR-29b	-2.697137137	7.688154265	7.43E-06	0.000117331
hsa-miR-222	-2.725937435	2.915248143	7.80E-06	0.000117331
hsa-miR-212	-2.804471652	2.984547386	0.000343067	0.001680995
hsa-miR-221	-3.086051301	5.06445069	5.13E-05	0.000405263
hsa-miR-155*	-3.302813289	1.950887545	4.21E-06	0.000110153
hsa-miR-132*	-3.408282762	2.355153588	6.33E-06	0.000111198
hsa-miR-720	-3.453430322	11.40038849	7.35E-06	0.000117331
hsa-miR-20a*	-3.491884312	2.718879324	4.75E-06	0.000110153
hsa-miR-886-3p	-3.531505308	3.026527325	0.003427612	0.008878078
hsa-miR-1274a	-3.61576682	4.790770546	0.000369855	0.001718737
hsa-miR-17*	-3.753860053	3.821928258	1.29E-05	0.000140401
hsa-miR-98	-3.773766726	4.331990175	1.55E-06	6.72E-05
hsa-let-7d*	-4.09172836	1.981730298	0.006129892	0.013859276
hsa-miR-1260	-4.219572829	6.710822087	1.46E-05	0.000143866
hsa-miR-221*	-4.306539772	2.768483717	1.10E-06	6.72E-05

